ymin   ymax   ptlow   pthi   xs   xserr_low    xserr_high   uncor_error   npcor   npcorerr   lumierr   unf_err_low   unf_err_hi    jec_src_low_0  jec_src_high_0  jec_src_low_1  jec_src_high_1  jec_src_low_2  jec_src_high_2  jec_src_low_3  jec_src_high_3  jec_src_low_4  jec_src_high_4  jec_src_low_5  jec_src_high_5  jec_src_low_6  jec_src_high_6  jec_src_low_7  jec_src_high_7  jec_src_low_8  jec_src_high_8  jec_src_low_9  jec_src_high_9  jec_src_low_10  jec_src_high_10  jec_src_low_11  jec_src_high_11  jec_src_low_12  jec_src_high_12  jec_src_low_13  jec_src_high_13  jec_src_low_14  jec_src_high_14  jec_src_low_15  jec_src_high_15
0.5 1.0 174 196 2.865e+02 0.005 0.005 0.010 1.065 0.008 0.022 0.007 0.008 0.027 0.028 0.019 0.019 0.007 0.007 0.019 0.020 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.004 0.004 0.019 0.020 -0.008 -0.008 0.017 0.017
0.5 1.0 196 220 1.461e+02 0.007 0.007 0.010 1.057 0.007 0.022 0.007 0.007 0.028 0.029 0.020 0.020 0.009 0.009 0.018 0.018 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.004 0.004 0.017 0.018 -0.008 -0.008 0.015 0.016
0.5 1.0 220 245 7.609e+01 0.009 0.009 0.010 1.050 0.006 0.022 0.006 0.007 0.028 0.029 0.021 0.021 0.011 0.011 0.017 0.017 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.004 0.004 0.016 0.016 -0.007 -0.007 0.014 0.014
0.5 1.0 245 272 4.050e+01 0.012 0.012 0.010 1.045 0.005 0.022 0.006 0.006 0.029 0.030 0.022 0.023 0.013 0.013 0.016 0.016 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.003 0.003 0.015 0.015 -0.006 -0.006 0.014 0.014
0.5 1.0 272 300 2.230e+01 0.015 0.015 0.010 1.041 0.004 0.022 0.006 0.006 0.029 0.030 0.023 0.024 0.014 0.015 0.015 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.000 0.000 -0.000 -0.000 0.003 0.003 0.013 0.014 -0.006 -0.006 0.013 0.013
0.5 1.0 300 330 1.242e+01 0.005 0.005 0.010 1.037 0.004 0.022 0.005 0.006 0.030 0.031 0.024 0.025 0.016 0.016 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 -0.000 0.003 0.003 0.013 0.013 -0.005 -0.005 0.012 0.012
0.5 1.0 330 362 6.984e+00 0.006 0.006 0.010 1.034 0.003 0.022 0.005 0.006 0.031 0.032 0.025 0.026 0.017 0.018 0.013 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 -0.000 0.002 0.002 0.012 0.012 -0.005 -0.005 0.012 0.012
0.5 1.0 362 395 3.936e+00 0.004 0.004 0.010 1.031 0.003 0.022 0.005 0.005 0.031 0.032 0.026 0.027 0.019 0.019 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 -0.000 0.002 0.002 0.011 0.011 -0.005 -0.005 0.011 0.011
0.5 1.0 395 430 2.272e+00 0.005 0.005 0.010 1.029 0.003 0.022 0.005 0.005 0.032 0.033 0.027 0.028 0.020 0.021 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 -0.000 0.002 0.002 0.010 0.010 -0.004 -0.004 0.011 0.011
0.5 1.0 430 468 1.301e+00 0.007 0.007 0.010 1.027 0.002 0.022 0.005 0.005 0.033 0.034 0.028 0.028 0.022 0.023 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 -0.000 0.002 0.002 0.010 0.010 -0.004 -0.004 0.010 0.010
0.5 1.0 468 507 7.492e-01 0.008 0.008 0.010 1.026 0.002 0.022 0.005 0.005 0.034 0.035 0.029 0.029 0.024 0.024 0.012 0.012 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.009 0.009 -0.004 -0.004 0.010 0.010
0.5 1.0 507 548 4.244e-01 0.004 0.004 0.010 1.024 0.002 0.022 0.005 0.005 0.035 0.036 0.030 0.031 0.026 0.026 0.012 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.009 0.009 -0.004 -0.004 0.010 0.010
0.5 1.0 548 592 2.451e-01 0.005 0.005 0.010 1.023 0.002 0.022 0.005 0.005 0.036 0.037 0.032 0.033 0.028 0.028 0.013 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.008 0.008 -0.004 -0.004 0.009 0.010
0.5 1.0 592 638 1.427e-01 0.006 0.006 0.010 1.022 0.002 0.022 0.005 0.005 0.037 0.038 0.034 0.035 0.029 0.030 0.013 0.013 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.008 0.008 -0.003 -0.003 0.009 0.009
0.5 1.0 638 686 8.291e-02 0.007 0.007 0.010 1.021 0.002 0.022 0.005 0.006 0.038 0.040 0.036 0.037 0.031 0.032 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.008 0.008 -0.003 -0.003 0.009 0.009
0.5 1.0 686 737 4.773e-02 0.010 0.010 0.010 1.020 0.002 0.022 0.005 0.006 0.040 0.041 0.037 0.039 0.033 0.034 0.014 0.014 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.007 0.007 -0.003 -0.003 0.008 0.009
0.5 1.0 737 790 2.759e-02 0.012 0.012 0.010 1.020 0.002 0.022 0.006 0.006 0.041 0.043 0.040 0.041 0.035 0.036 0.014 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.001 0.001 0.007 0.007 -0.003 -0.003 0.008 0.008
0.5 1.0 790 846 1.551e-02 0.016 0.016 0.010 1.019 0.002 0.022 0.006 0.006 0.043 0.045 0.042 0.044 0.037 0.039 0.015 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.001 0.001 0.007 0.007 -0.003 -0.003 0.008 0.008
0.5 1.0 846 905 8.350e-03 0.021 0.021 0.010 1.018 0.002 0.022 0.006 0.006 0.045 0.047 0.045 0.047 0.040 0.041 0.015 0.015 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.007 0.007 -0.003 -0.003 0.008 0.008
0.5 1.0 905 967 4.391e-03 0.028 0.028 0.010 1.018 0.002 0.022 0.006 0.007 0.047 0.049 0.049 0.051 0.043 0.044 0.016 0.016 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.007 0.007 -0.003 -0.003 0.008 0.008
0.5 1.0 967 1032 2.396e-03 0.037 0.037 0.010 1.018 0.002 0.022 0.007 0.007 0.049 0.051 0.053 0.056 0.045 0.047 0.017 0.017 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.006 0.007 -0.003 -0.003 0.008 0.008
0.5 1.0 1032 1101 1.431e-03 0.047 0.047 0.010 1.017 0.002 0.022 0.007 0.008 0.052 0.054 0.057 0.060 0.049 0.051 0.017 0.018 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.006 0.006 -0.003 -0.003 0.008 0.008
0.5 1.0 1101 1172 7.686e-04 0.062 0.062 0.010 1.017 0.002 0.022 0.008 0.009 0.054 0.057 0.062 0.066 0.052 0.055 0.018 0.019 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.002 0.002 0.006 0.006 -0.003 -0.003 0.008 0.008
0.5 1.0 1172 1248 3.220e-04 0.094 0.094 0.010 1.016 0.002 0.022 0.009 0.009 0.057 0.061 0.068 0.072 0.056 0.059 0.020 0.020 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.001 0.001 0.006 0.006 -0.003 -0.003 0.008 0.008
0.5 1.0 1248 1327 1.299e-04 0.136 0.136 0.010 1.016 0.002 0.022 -0.000 0.474 0.061 0.065 0.074 0.079 0.061 0.064 0.021 0.021 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 -0.000 0.000 0.001 0.001 -0.000 0.000 0.001 0.001 0.006 0.006 -0.003 -0.003 0.008 0.008

